天数,城市名称,大学名称/景点,预约及票价,市内交通,跨市交通,酒店,备注（游览重点+便捷提示）
Day1,深圳→杭州,浙江大学、西湖,浙大：需通过支付宝/微信公众号“浙大通”提前1天预约，免费；西湖：核心景区通常免预约免门票，部分小景点另收费,杭州萧山机场/杭州东→汉庭酒店(杭州浙大紫金港店)，约4-8元；酒店→浙大紫金港校区，约2元；浙大紫金港→西湖，约2-4元,飞机: CZ6849，06:55～09:00（共2小时05分，参考价¥435起）,汉庭酒店(杭州浙大紫金港店)，建议¥220-320/晚,上午抵达杭州，下午集中完成浙大预约参观与西湖首游
Day2,杭州,西湖、灵隐寺,西湖通常免预约免门票；灵隐寺/飞来峰按景区实时购票规则执行,汉庭酒店(杭州浙大紫金港店)→西湖苏堤，约3-5元；西湖→灵隐寺，约2-3元；灵隐寺→酒店，约4-6元,无,汉庭酒店(杭州浙大紫金港店)，建议¥220-320/晚,杭州景点日，不再重复使用浙大预约
Day3,杭州,西湖、河坊街,西湖核心景区通常免预约免门票；河坊街开放式游览一般无需预约,汉庭酒店(杭州浙大紫金港店)→西湖断桥，约3-4元；断桥→河坊街，约2-3元；河坊街→酒店，约3-4元,无,汉庭酒店(杭州浙大紫金港店)，建议¥220-320/晚,杭州收尾日，控制节奏，为赴上海做准备
Day4,杭州→上海,上海交通大学,上交：需走访客系统/hellocampus.sjtu.edu.cn预约，免费,汉庭酒店(杭州浙大紫金港店)→杭州东，约4-6元；上海虹桥→如家酒店·neo(上海中山公园长宁店)，约3-4元；酒店→上海交通大学，约4-6元,高铁: G7312，06:00～07:02（共1小时02分，二等座参考¥73）,如家酒店·neo(上海中山公园长宁店)，建议¥280-350/晚,上午杭州自由活动，下午赴上海，傍晚熟悉交大周边
Day5,上海,上海交通大学、复旦大学,上交：需预约，免费；复旦：需校内师生生成邀请码后登记，免费,如家酒店·neo(上海中山公园长宁店)→上海交通大学，约4-6元；上交→复旦大学，约5-6元；复旦→酒店，约4-5元,无,如家酒店·neo(上海中山公园长宁店)，建议¥280-350/晚,两所需要预约的学校集中在同一天游览
Day6,上海,上海迪士尼度假区,需通过上海迪士尼官方App/官网/公众号购票；票价按日期浮动,如家酒店·neo(上海中山公园长宁店)→迪士尼度假区，约6-8元；迪士尼→酒店，约6-8元,无,如家酒店·neo(上海中山公园长宁店)，建议¥280-350/晚,整天安排迪士尼，建议尽早入园
Day7,上海,外滩、豫园,外滩通常免预约免门票；豫园按景区实时购票规则执行,如家酒店·neo(上海中山公园长宁店)→外滩，约3-5元；外滩→豫园，约2-3元；豫园→酒店，约3-5元,无,如家酒店·neo(上海中山公园长宁店)，建议¥280-350/晚,上海城市景点日
Day8,上海→南京,南京大学,南京大学通常可通过“南京大学信息门户”-“i校园”-“访客通行”办理，免费,如家酒店·neo(上海中山公园长宁店)→上海虹桥，约3-4元；南京南→你好酒店(南京夫子庙步行街店)，约3-4元；酒店→南京大学鼓楼校区，约2-3元,高铁: G1971，06:10～07:38（共1小时28分，二等座参考¥115起）,你好酒店(南京夫子庙步行街店)，建议¥180-300/晚,中午抵达南京，下午集中完成南大预约参观
Day9,南京,南京红山森林动物园、夫子庙,红山动物园按官方购票规则执行；夫子庙街区通常无需预约,你好酒店(南京夫子庙步行街店)→红山森林动物园，约3-4元；红山动物园→夫子庙，约2-3元；夫子庙步行回酒店或地铁约2元,无,你好酒店(南京夫子庙步行街店)，建议¥180-300/晚,南京景点日
Day10,南京,中山陵、玄武湖,中山陵园风景区按景区规则执行；玄武湖通常免预约免门票,你好酒店(南京夫子庙步行街店)→中山陵，约3-5元；中山陵→玄武湖，约2-3元；玄武湖→酒店，约2-4元,无,你好酒店(南京夫子庙步行街店)，建议¥180-300/晚,南京经典景点日
Day11,南京,南京博物院、老门东,南京博物院通常需预约且免费；老门东街区通常无需预约,你好酒店(南京夫子庙步行街店)→南京博物院，约2-3元；南京博物院→老门东，约2元；老门东→酒店，步行或约2元,无,你好酒店(南京夫子庙步行街店)，建议¥180-300/晚,南京文化休闲日
Day12,南京→合肥,中国科学技术大学,未查到统一社会公众游校园官方入口；建议先联系被访单位或关注“中国科学技术大学信息服务”，校园一般免费,你好酒店(南京夫子庙步行街店)→南京南，约3-4元；合肥南→汉庭酒店(合肥黄山路中科大店)，约3-4元；酒店→中科大东区，约2元,高铁: G1743，07:59～08:54（共55分钟，二等座参考¥72）,汉庭酒店(合肥黄山路中科大店)，建议¥220-300/晚,下午赴合肥，傍晚完成中科大主要校园参观
Day13,合肥,包公园、逍遥津公园,包公园/逍遥津公园按景区实时规则执行，开放区域较多,汉庭酒店(合肥黄山路中科大店)→包公园，约2-3元；包公园→逍遥津公园，约2元；逍遥津→酒店，约2-3元,无,汉庭酒店(合肥黄山路中科大店)，建议¥220-300/晚,合肥只停留2天，第二天主要看城市景点并休整
Day14,合肥→武汉,武汉大学,武大：樱花季需官网/官微预约，非樱花季以学校当日管理为准，校园通常免费,汉庭酒店(合肥黄山路中科大店)→合肥南，约3-4元；武汉站→汉庭酒店(武汉大学街道口地铁站店)，约4-6元；酒店→武汉大学，约2元,高铁: G1747，07:46～09:28（共1小时42分，二等座参考¥133起）,汉庭酒店(武汉大学街道口地铁站店)，建议¥230-320/晚,下午赴武汉，晚上入住武昌区
Day15,武汉,武汉大学、华中科技大学,武大：樱花季需预约；华科：建议看学校“访客/华中大微校园”，校园免费,汉庭酒店(武汉大学街道口地铁站店)→武汉大学，约2元；武大→华中科技大学，约4元；华科→酒店，约4元,无,汉庭酒店(武汉大学街道口地铁站店)，建议¥230-320/晚,需要预约/管理的高校集中在同一天游览
Day16,武汉,黄鹤楼、东湖绿道,黄鹤楼通常按官方购票规则执行；东湖开放区域通常免门票,汉庭酒店(武汉大学街道口地铁站店)→黄鹤楼，约3-4元；黄鹤楼→东湖绿道，约2-3元；东湖→酒店，约2-3元,无,汉庭酒店(武汉大学街道口地铁站店)，建议¥230-320/晚,武汉经典景点日
Day17,武汉→北京,清华大学,清华：需“清华大学”公众号“参观清华”实名预约，免费,汉庭酒店(武汉大学街道口地铁站店)→武汉天河机场，约5-7元；北京大兴机场→和家精品酒店(北京清华大学五道口地铁站店)，约6-8元；酒店→清华大学，约2元,飞机: MU2451，08:55～10:50（共1小时55分，参考价¥340起）,和家精品酒店(北京清华大学五道口地铁站店)，建议¥300-350/晚,北京停留共4天，今天为抵达日
Day18,北京,清华大学、北京大学,清华：需“清华大学”公众号预约；北大：需走官方预约参观通道，校园免费,和家精品酒店(北京清华大学五道口地铁站店)→清华大学，约2元；清华西门→北大东门，约2-3元；北大→酒店，约2元,无,和家精品酒店(北京清华大学五道口地铁站店)，建议¥300-350/晚,清华和北大集中在同一天完成预约参观
Day19,北京,天安门广场、故宫,天安门广场需提前1-7日预约，免费；故宫需实名预约，旺季60元/淡季40元,和家精品酒店(北京清华大学五道口地铁站店)→天安门广场，约4-5元；天安门→故宫，步行；故宫→酒店，约4-5元,无,和家精品酒店(北京清华大学五道口地铁站店)，建议¥300-350/晚,北京核心景点日
Day20,北京,颐和园、圆明园,颐和园/圆明园按景区实时购票规则执行,和家精品酒店(北京清华大学五道口地铁站店)→颐和园，约3-4元；颐和园→圆明园，约2元；圆明园→酒店，约2-3元,无,和家精品酒店(北京清华大学五道口地铁站店)，建议¥300-350/晚,北京第4天安排海淀景点后结束北京停留
Day21,北京→西安,西安交通大学,西安交大校园访客一般需校内被访人员通过“校园访客公务报备”邀约入校，校园免费,和家精品酒店(北京清华大学五道口地铁站店)→北京大兴机场，约6-8元；西安咸阳机场→汉庭酒店(西安大雁塔陕西历史博物馆店)，约5-7元；酒店→西安交通大学，约3-4元,飞机: HU7137，06:50～09:10（共2小时20分，参考价¥571起）,汉庭酒店(西安大雁塔陕西历史博物馆店)，建议¥220-320/晚,西安停留共3天，今天为抵达日
Day22,西安,西安交通大学、大雁塔,交大需校内邀约；大雁塔按景区实时购票规则执行,汉庭酒店(西安大雁塔陕西历史博物馆店)→西安交大兴庆校区，约3-4元；交大→大雁塔，约2-3元；大雁塔→酒店，约2元,无,汉庭酒店(西安大雁塔陕西历史博物馆店)，建议¥220-320/晚,西安交大只安排1天集中参观，下午顺路看大雁塔
Day23,西安,秦始皇兵马俑,需通过秦始皇帝陵博物院官网/公众号实名预约；票价以官方实时购票页为准,汉庭酒店(西安大雁塔陕西历史博物馆店)→兵马俑，约7-10元；兵马俑→酒店，约7-10元,无,汉庭酒店(西安大雁塔陕西历史博物馆店)，建议¥220-320/晚,西安第3天整天安排兵马俑，至此完成西安停留
Day24,西安→深圳,返程,返程日通常无景点预约；若临时补逛开放街区一般无需预约且无门票,汉庭酒店(西安大雁塔陕西历史博物馆店)→西安咸阳机场，约5-7元,飞机: MU2269，08:45～11:30（共2小时45分，参考价¥640起）,返程日不住宿,返程日
