维度,规则,建议阈值/口径,说明
适用目标,交易类型,隔夜短线/次日冲高卖,这套方法更适合今天尾盘选股 明天处理
适用目标,适用人群,能盯盘且愿意执行止损的人,适合短线纪律型交易 不适合完全被动持有
基础筛选,股价范围,10-60元,尽量避开过低价股和过高价股 提高流动性与可操作性
基础筛选,板块范围,主板优先,优先沪深主板 少碰创业板 科创板 北交所高波动票
基础筛选,成交额,不低于15-20亿元,保证尾盘有足够流动性 避免小票被资金硬拉
基础筛选,换手率,1%-8%,太低说明没活跃度 太高说明情绪过热
基础筛选,量比,0.8-2.0,低于0.8偏冷 高于2.0要防异常放量
当日强弱,涨跌幅,0%到+4%,涨太少可能弱 涨太多则次日易兑现
当日强弱,振幅,1.5%-5%,有波动才有隔夜价值 太大又容易不稳
尾盘结构,收盘位置,尽量靠近日内高位,说明尾盘资金没有明显撤退
尾盘结构,分时均价,收盘价在分时均价上方,说明尾盘整体偏强
尾盘结构,最后30分钟,不跳水或小幅抬升,尾盘横住或抬升优于尾盘砸盘
尾盘结构,最后3根5分钟K,至少2根不走弱,最好表现为抬高 横盘 小阳线
加分项,尾盘回流,14:30后量能温和放大,代表尾盘有新增资金回流
加分项,高位不过热,不是接近涨停的极端强势票,防止次日高开低走
加分项,行业地位,优先行业龙头/大市值活跃股,更适合10w练手体系
剔除条件,尾盘跳水,14:30后明显回落并跌破分时均价,尾盘走弱说明次日承接不确定
剔除条件,冲高回落,收盘离日内最高点太远,说明上方抛压较大
剔除条件,无量拉升,尾盘突然直线拉升但全天量能不足,次日容易低开回吐
剔除条件,极端强势,当天已大涨接近涨停,隔夜盈亏比通常变差
剔除条件,消息不明,突发公告刺激但逻辑不清楚,短线容易只剩情绪博弈
次日执行,开盘观察,先看09:35-10:00承接,不要集合竞价一冲动就追
次日执行,强势条件,高开后稳住昨收或尾盘强势区,说明隔夜逻辑延续
次日执行,弱势条件,低开低走并跌回分时均价下方,说明尾盘逻辑失效
次日执行,止盈原则,冲高分批卖,不要一笔全赌最高点
次日执行,止损原则,跌破前一日关键承接位就执行,不能因为是尾盘选出来的票就死扛
仓位管理,首笔试仓,5%-10%,尾盘股不适合第一次就重仓
仓位管理,单票上限,不超过15%-20%,保持可控 不因一只尾盘票打乱整个账户
仓位管理,同时观察数量,1-3只,太多会分散第二天执行力
复盘要求,记录内容,尾盘形态+次日开盘承接+最终结果,持续复盘才能知道哪些尾盘形态最适合你
核心原则,一句话,尾盘强不等于次日必涨 关键在于次日承接,尾盘选股法本质是提高概率 不是保证结果
