锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2026-03-16,强下跌,常规环境,225,39,200,25,16,209,17.33%,218,34,15.60%,209,0,225,92.89%,207,94.95%
2026-03-19,强下跌,恐慌释放高+弱势延续高,226,39,226,0,39,187,17.26%,197,25,12.69%,187,0,226,82.74%,172,87.31%
2026-03-24,震荡,弱势延续高,226,122,226,0,122,104,53.98%,147,78,53.06%,139,183,43,61.50%,95,64.63%
2026-03-27,强下跌,常规环境,226,64,226,0,64,162,28.32%,161,38,23.60%,162,0,226,71.68%,123,76.40%
2026-04-01,震荡,常规环境,227,147,115,112,121,106,64.76%,129,94,72.87%,147,115,112,64.76%,94,72.87%
2026-04-07,强上涨,常规环境,227,188,226,1,189,38,82.82%,190,166,87.37%,188,226,1,82.82%,166,87.37%
2026-04-10,强上涨,过热回落高,227,164,202,25,165,62,72.25%,162,126,77.78%,164,202,25,72.25%,126,77.78%
2026-04-15,强上涨,常规环境,227,167,220,7,166,61,73.57%,160,128,80.00%,167,220,7,73.57%,128,80.00%
2026-04-20,普跌,常规环境,228,99,216,12,89,139,43.42%,164,72,43.90%,158,79,149,69.30%,116,70.73%
2026-04-24,普涨,常规环境,228,151,161,67,146,82,66.23%,152,103,67.76%,153,175,53,67.11%,105,69.08%
2026-04-27,普涨,常规环境,228,163,198,30,159,69,71.49%,159,124,77.99%,163,198,30,71.49%,124,77.99%
2026-04-28,强上涨,恐慌释放高,227,60,29,198,186,41,26.43%,195,43,22.05%,185,222,5,81.50%,170,87.18%
2026-04-29,强上涨,常规环境,228,180,223,5,179,49,78.95%,178,153,85.96%,180,223,5,78.95%,153,85.96%
2026-04-30,普涨,常规环境,228,162,190,38,158,70,71.05%,172,133,77.33%,162,190,38,71.05%,133,77.33%
2026-05-06,普涨,常规环境,228,143,156,72,155,73,62.72%,162,109,67.28%,156,195,33,68.42%,120,74.07%
2026-05-07,强下跌,过热回落高,228,49,205,23,26,202,21.49%,216,42,19.44%,191,11,217,83.77%,187,86.57%
