实际市场状态,锚点日期,市场风险标签,日期数,股票预测数,原始正确数,修正后正确数,预测上涨数,预测下跌数,实际上涨数,实际下跌数,噪声样本数,平均未来5日上涨比例,平均预测上涨概率,降噪后股票预测数,降噪后原始正确数,降噪后修正正确数,原始准确率,修正后准确率,降噪后原始准确率,降噪后修正准确率,预测上涨占比,实际上涨占比
强上涨,2026-02-02,恐慌释放高+弱势延续高,1,223,186,186,219,4,188,35,76,84.30%,65.31%,147,127,127,83.41%,83.41%,86.39%,86.39%,98.21%,84.30%
强上涨,2026-03-31,常规环境,1,227,100,185,227,0,185,42,67,81.50%,33.27%,160,72,141,44.05%,81.50%,45.00%,88.12%,100.00%,81.50%
强上涨,2026-04-15,常规环境,1,227,168,168,211,16,166,61,67,73.13%,53.22%,160,130,130,74.01%,74.01%,81.25%,81.25%,92.95%,73.13%
强下跌,2026-02-24,常规环境,1,223,80,177,29,194,51,172,38,22.87%,41.27%,185,64,155,35.87%,79.37%,34.59%,83.78%,13.00%,22.87%
强下跌,2026-03-10,过热回落高,1,225,109,176,1,224,48,177,52,21.33%,37.43%,173,86,144,48.44%,78.22%,49.71%,83.24%,0.44%,21.33%
强下跌,2026-03-17,弱势延续高,1,225,29,200,0,225,25,200,17,11.11%,67.42%,208,23,189,12.89%,88.89%,11.06%,90.87%,0.00%,11.11%
普涨,2026-02-09,过热回落高,1,224,125,125,224,0,125,99,89,55.80%,66.58%,135,78,78,55.80%,55.80%,57.78%,57.78%,100.00%,55.80%
普涨,2026-03-03,恐慌释放高,1,223,157,157,218,5,154,69,80,69.06%,53.98%,143,111,111,70.40%,70.40%,77.62%,77.62%,97.76%,69.06%
震荡,2026-03-24,弱势延续高,1,226,122,139,175,51,122,104,79,53.98%,60.59%,147,78,94,53.98%,61.50%,53.06%,63.95%,77.43%,53.98%
震荡,2026-04-08,过热回落高,1,227,129,129,218,9,124,103,102,54.63%,46.79%,125,83,83,56.83%,56.83%,66.40%,66.40%,96.04%,54.63%
