锚点日期,实际市场状态,市场代理状态,股票预测数,自适应阈值正确数,预测上涨数,预测下跌数,实际上涨数,实际下跌数,自适应阈值准确率,降噪后股票预测数,降噪后自适应阈值正确数,降噪后自适应阈值准确率,修正后正确数,修正后准确率,降噪后修正后正确数,降噪后修正后准确率
2026-03-16,强下跌,常规,225,140,208,17,16,209,62.22%,218,135,61.93%,209,92.89%,207,94.95%
2026-03-19,强下跌,恐慌弱势,226,39,226,0,39,187,17.26%,197,25,12.69%,187,82.74%,172,87.31%
2026-03-24,震荡,恐慌弱势,226,122,226,0,122,104,53.98%,147,77,52.38%,138,61.06%,92,62.59%
2026-03-27,强下跌,强反弹,226,144,226,0,64,162,63.72%,161,109,67.70%,162,71.68%,123,76.40%
2026-04-01,震荡,强反弹,227,107,116,111,121,106,47.14%,129,58,44.96%,107,47.14%,58,44.96%
2026-04-07,强上涨,常规,227,56,227,0,189,38,24.67%,190,39,20.53%,56,24.67%,39,20.53%
2026-04-10,强上涨,过热回落,227,64,193,34,165,62,28.19%,162,37,22.84%,64,28.19%,37,22.84%
2026-04-15,强上涨,常规,227,166,211,16,166,61,73.13%,160,128,80.00%,166,73.13%,128,80.00%
2026-04-20,普跌,常规,228,93,216,12,89,139,40.79%,164,67,40.85%,160,70.18%,124,75.61%
2026-04-24,普涨,常规,228,147,139,89,146,82,64.47%,152,101,66.45%,153,67.11%,106,69.74%
2026-04-27,普涨,常规,228,77,192,36,159,69,33.77%,159,45,28.30%,77,33.77%,45,28.30%
2026-04-28,强上涨,恐慌弱势,227,43,44,183,186,41,18.94%,195,26,13.33%,184,81.06%,169,86.67%
2026-04-29,强上涨,强反弹,228,53,225,3,179,49,23.25%,178,29,16.29%,53,23.25%,29,16.29%
2026-04-30,普涨,常规,228,130,191,37,158,70,57.02%,172,99,57.56%,130,57.02%,99,57.56%
2026-05-06,普涨,强反弹,228,80,153,75,155,73,35.09%,162,51,31.48%,91,39.91%,62,38.27%
2026-05-07,强下跌,过热回落,228,47,205,23,26,202,20.61%,216,41,18.98%,190,83.33%,184,85.19%
