修正原因,股票数,发生修正数,原始正确数,修正后正确数,原始预测上涨数,原始预测下跌数,修正后预测上涨数,修正后预测下跌数,实际上涨数,实际下跌数,噪声样本数,原始准确率,修正后准确率,准确率变化百分点,修正净增正确数,原始实际下跌却预测上涨数,修正后实际下跌却预测上涨数
弱势延续且当日继续大面积下跌，原始上涨改下跌,543,543,144,399,543,0,0,543,144,399,122,26.52%,73.48%,46.96,255,399,0
常规环境但市场宽度隐性转弱，原始上涨改下跌,220,220,24,196,220,0,0,220,24,196,34,10.91%,89.09%,78.18,172,196,0
常规环境但短线破位，原始上涨改下跌,200,200,15,185,200,0,0,200,15,185,5,7.50%,92.50%,85.0,170,185,0
弱势延续中的假反弹，原始上涨改下跌,218,218,26,192,218,0,0,218,26,192,24,11.93%,88.07%,76.15,166,192,0
恐慌释放且弱势延续，并且大中小盘20日趋势转弱，原始上涨改下跌,226,226,39,187,226,0,0,226,39,187,29,17.26%,82.74%,65.49,148,187,0
恐慌但未充分超跌且趋势未修复，原始上涨改下跌,171,171,26,145,171,0,0,171,26,145,29,15.20%,84.80%,69.59,119,145,0
常规环境但弱趋势强反弹，原始上涨改下跌,226,226,64,162,226,0,0,226,64,162,65,28.32%,71.68%,43.36,98,162,0
指数超跌且恐慌未形成弱势延续，原始下跌改上涨,146,146,30,116,0,146,146,0,116,30,50,20.55%,79.45%,58.9,86,0,30
下跌趋势中弱反抽，原始上涨改下跌,208,208,68,140,208,0,0,208,68,140,82,32.69%,67.31%,34.62,72,140,0
弱势趋势中的第二日反弹失败，原始上涨改下跌,221,221,77,144,221,0,0,221,77,144,78,34.84%,65.16%,30.32,67,144,0
中位过热反弹后回落风险，原始上涨改下跌,120,120,30,90,120,0,0,120,30,90,25,25.00%,75.00%,50.0,60,90,0
弱势反弹但个股弱于行业，原始上涨改下跌,95,95,32,63,95,0,0,95,32,63,35,33.68%,66.32%,32.63,31,63,0
不修正,1725,0,1104,1104,1725,0,1725,0,1104,621,626,64.00%,64.00%,0.0,0,621,621
原始预测下跌，不修正,634,0,505,505,0,634,0,634,129,505,140,79.65%,79.65%,0.0,0,0,0
